first,second,third
merkwürdige,idee,aber
idee,aber,wenn
aber,wenn,du
wenn,du,es
du,es,nicht
es,nicht,festbindest
nicht,festbindest,kann
festbindest,kann,es
kann,es,überall
es,überall,hingehen
überall,hingehen,und
hingehen,und,sich
und,sich,verlaufen
sich,verlaufen,erneut
verlaufen,erneut,brach
erneut,brach,mein
brach,mein,freund
mein,freund,in
freund,in,lachen
in,lachen,aus
lachen,aus,aber
aus,aber,wohin
aber,wohin,soll
wohin,soll,es
soll,es,denn
es,denn,deiner
denn,deiner,meinung
deiner,meinung,nach
meinung,nach,gehen
nach,gehen,egal
gehen,egal,wohin
egal,wohin,einfach
wohin,einfach,geradeaus
einfach,geradeaus,im
geradeaus,im,ernsten
im,ernsten,ton
ernsten,ton,bemerkte
ton,bemerkte,der
bemerkte,der,kleine
der,kleine,prinz
kleine,prinz,das
prinz,das,macht
das,macht,nichts
macht,nichts,es
nichts,es,ist
es,ist,so
ist,so,klein
so,klein,bei
klein,bei,mir
bei,mir,und
mir,und,vielleicht
und,vielleicht,ein
vielleicht,ein,bisschen
ein,bisschen,traurig
bisschen,traurig,fügte
traurig,fügte,er
fügte,er,hinzu
er,hinzu,geradeaus
hinzu,geradeaus,kommt
geradeaus,kommt,man
kommt,man,nicht
man,nicht,besonders
nicht,besonders,weit
besonders,weit,so
weit,so,lernte
so,lernte,ich
lernte,ich,eine
ich,eine,zweite
eine,zweite,wichtige
zweite,wichtige,sache
wichtige,sache,sein
sache,sein,heimatplanet
sein,heimatplanet,war
heimatplanet,war,kaum
war,kaum,größer
kaum,größer,als
größer,als,ein
als,ein,haus
ein,haus,das
haus,das,wunderte
das,wunderte,mich
wunderte,mich,nicht
mich,nicht,ich
nicht,ich,wusste
ich,wusste,genau
wusste,genau,dass
genau,dass,es
dass,es,neben
es,neben,den
neben,den,großen
den,großen,planeten
großen,planeten,wie
planeten,wie,der
wie,der,erde
der,erde,dem
erde,dem,jupiter
dem,jupiter,dem
jupiter,dem,mars
dem,mars,oder
mars,oder,der
oder,der,venus
der,venus,denen
venus,denen,wir
denen,wir,namen
wir,namen,gegeben
namen,gegeben,hatten
gegeben,hatten,noch
hatten,noch,hunderte
noch,hunderte,anderer
hunderte,anderer,planeten
anderer,planeten,gibt
planeten,gibt,die
gibt,die,manchmal
die,manchmal,so
manchmal,so,klein
so,klein,sind
klein,sind,dass
sind,dass,man
dass,man,sie
man,sie,selbst
sie,selbst,durch
selbst,durch,ein
durch,ein,teleskop
ein,teleskop,kaum
teleskop,kaum,erkennen
kaum,erkennen,kann
erkennen,kann,wenn
kann,wenn,ein
wenn,ein,astronom
ein,astronom,einen
astronom,einen,von
einen,von,ihnen
von,ihnen,entdeckt
ihnen,entdeckt,so
entdeckt,so,gibt
so,gibt,er
gibt,er,ihm
er,ihm,eine
ihm,eine,nummer
eine,nummer,anstelle
nummer,anstelle,eines
anstelle,eines,namens
eines,namens,er
namens,er,nennt
er,nennt,ihn
nennt,ihn,zum
ihn,zum,beispiel
zum,beispiel,asteroid
beispiel,asteroid,ich
asteroid,ich,habe
ich,habe,ernstzunehmende
habe,ernstzunehmende,gründe
ernstzunehmende,gründe,zu
gründe,zu,glauben
zu,glauben,dass
glauben,dass,der
dass,der,heimatplanet
der,heimatplanet,des
heimatplanet,des,kleinen
des,kleinen,prinzen
kleinen,prinzen,der
prinzen,der,asteroid
der,asteroid,b
asteroid,b,ist
b,ist,nur
ist,nur,ein
nur,ein,einziges
ein,einziges,mal
einziges,mal,im
mal,im,jahre
im,jahre,hat
jahre,hat,ein
hat,ein,türkischer
ein,türkischer,astronom
türkischer,astronom,diesen
astronom,diesen,asteroiden
diesen,asteroiden,durch
asteroiden,durch,sein
durch,sein,fernrohr
sein,fernrohr,gesehen
fernrohr,gesehen,seine
gesehen,seine,entdeckung
seine,entdeckung,hatte
entdeckung,hatte,er
hatte,er,bei
er,bei,einem
bei,einem,internationalen
einem,internationalen,astronomiekongress
internationalen,astronomiekongress,vorgeführt
astronomiekongress,vorgeführt,aber
vorgeführt,aber,wegen
aber,wegen,seiner
wegen,seiner,traditionellen
seiner,traditionellen,tracht
traditionellen,tracht,hatte
tracht,hatte,ihm
hatte,ihm,niemand
ihm,niemand,glauben
niemand,glauben,wollen
glauben,wollen,so
wollen,so,sind
so,sind,die
sind,die,erwachsenen
die,erwachsenen,zum
erwachsenen,zum,glück
zum,glück,für
glück,für,den
für,den,asteroiden
den,asteroiden,b
asteroiden,b,zwang
b,zwang,ein
zwang,ein,türkischer
ein,türkischer,diktator
türkischer,diktator,sein
diktator,sein,volk
sein,volk,unter
volk,unter,androhung
unter,androhung,der
androhung,der,todesstrafe
der,todesstrafe,sich
todesstrafe,sich,nach
sich,nach,europäischer
nach,europäischer,art
europäischer,art,zu
art,zu,kleiden
zu,kleiden,so
kleiden,so,wiederholte
so,wiederholte,der
wiederholte,der,astronom
der,astronom,in
astronom,in,sehr
in,sehr,eleganter
sehr,eleganter,kleidung
eleganter,kleidung,seine
kleidung,seine,vorführung
seine,vorführung,im
vorführung,im,jahre
im,jahre,und
jahre,und,dieses
und,dieses,mal
dieses,mal,waren
mal,waren,alle
waren,alle,seiner
alle,seiner,meinung
seiner,meinung,wenn
meinung,wenn,ich
wenn,ich,euch
ich,euch,diese
euch,diese,details
diese,details,über
details,über,den
über,den,asteroiden
den,asteroiden,b
asteroiden,b,erzähle
b,erzähle,und
erzähle,und,seine
und,seine,nummer
seine,nummer,verraten
nummer,verraten,habe
verraten,habe,dann
habe,dann,wegen
dann,wegen,der
wegen,der,erwachsenen
der,erwachsenen,erwachsene
erwachsenen,erwachsene,lieben
erwachsene,lieben,zahlen
lieben,zahlen,erzählt
zahlen,erzählt,ihr
erzählt,ihr,ihnen
ihr,ihnen,von
ihnen,von,einem
von,einem,neuen
einem,neuen,freund
neuen,freund,stellen
freund,stellen,sie
stellen,sie,euch
sie,euch,nie
euch,nie,fragen
nie,fragen,über
fragen,über,das
über,das,wesentliche
das,wesentliche,sie
wesentliche,sie,sagen
sie,sagen,niemals
sagen,niemals,wie
niemals,wie,klingt
wie,klingt,seine
klingt,seine,stimme
seine,stimme,was
stimme,was,sind
was,sind,seine
sind,seine,lieblingsspiele
seine,lieblingsspiele,sammelt
lieblingsspiele,sammelt,er
sammelt,er,schmetterlinge
er,schmetterlinge,sie
schmetterlinge,sie,fragen
sie,fragen,euch
fragen,euch,wie
euch,wie,alt
wie,alt,ist
alt,ist,er
ist,er,wie
er,wie,viele
wie,viele,geschwister
viele,geschwister,hat
geschwister,hat,er
hat,er,wie
er,wie,viel
wie,viel,wiegt
viel,wiegt,er
wiegt,er,wie
er,wie,viel
wie,viel,verdient
viel,verdient,sein
verdient,sein,vater
sein,vater,damit
vater,damit,glauben
damit,glauben,sie
glauben,sie,ihn
sie,ihn,zu
ihn,zu,kennen
zu,kennen,erzählt
kennen,erzählt,ihr
erzählt,ihr,den
ihr,den,erwachsenen
den,erwachsenen,ich
erwachsenen,ich,habe
ich,habe,ein
habe,ein,schönes
ein,schönes,haus
schönes,haus,aus
haus,aus,roten
aus,roten,ziegelsteinen
roten,ziegelsteinen,gesehen
ziegelsteinen,gesehen,mit
gesehen,mit,geranien
mit,geranien,vor
geranien,vor,den
vor,den,fenstern
den,fenstern,und
fenstern,und,tauben
und,tauben,auf
tauben,auf,dem
auf,dem,dach
dem,dach,dann
dach,dann,gelingt
dann,gelingt,es
gelingt,es,ihnen
es,ihnen,nicht
ihnen,nicht,sich
nicht,sich,dieses
sich,dieses,haus
dieses,haus,vorzustellen
haus,vorzustellen,man
vorzustellen,man,muss
man,muss,ihnen
muss,ihnen,sagen
ihnen,sagen,ich
sagen,ich,habe
ich,habe,ein
habe,ein,haus
ein,haus,gesehen
haus,gesehen,dass
gesehen,dass,hunderttausend
dass,hunderttausend,francs
hunderttausend,francs,wert
francs,wert,ist
wert,ist,dann
ist,dann,rufen
dann,rufen,sie
rufen,sie,erfreut
sie,erfreut,oh
erfreut,oh,wie
oh,wie,schön
wie,schön,wenn
schön,wenn,ihr
wenn,ihr,ihnen
ihr,ihnen,also
ihnen,also,sagt
also,sagt,der
sagt,der,beweis
der,beweis,dafür
beweis,dafür,dass
dafür,dass,es
dass,es,den
es,den,kleinen
den,kleinen,prinzen
kleinen,prinzen,wirklich
prinzen,wirklich,gegeben
wirklich,gegeben,hat
gegeben,hat,liegt
hat,liegt,darin
liegt,darin,dass
darin,dass,er
dass,er,bezaubernd
er,bezaubernd,war
bezaubernd,war,dass
war,dass,er
dass,er,lachte
er,lachte,und
lachte,und,dass
und,dass,er
dass,er,sich
er,sich,ein
sich,ein,schaf
ein,schaf,wünschte
schaf,wünschte,wenn
wünschte,wenn,man
wenn,man,ein
man,ein,schaf
ein,schaf,möchte
schaf,möchte,beweist
möchte,beweist,das
beweist,das,doch
das,doch,dass
doch,dass,es
dass,es,einen
es,einen,gibt
einen,gibt,dann
gibt,dann,werden
dann,werden,sie
werden,sie,mit
sie,mit,den
mit,den,schultern
den,schultern,zucken
schultern,zucken,und
zucken,und,euch
und,euch,wie
euch,wie,ein
wie,ein,kind
ein,kind,behandeln
kind,behandeln,sagt
behandeln,sagt,ihr
sagt,ihr,ihnen
ihr,ihnen,aber
ihnen,aber,sein
aber,sein,heimatplanet
sein,heimatplanet,ist
heimatplanet,ist,der
ist,der,asteroid
der,asteroid,b
asteroid,b,dann
b,dann,werden
dann,werden,sie
werden,sie,überzeugt
sie,überzeugt,sein
überzeugt,sein,und
sein,und,euch
und,euch,in
euch,in,ruhe
in,ruhe,lassen
ruhe,lassen,mit
lassen,mit,ihren
mit,ihren,fragen
ihren,fragen,so
fragen,so,sind
so,sind,sie
sind,sie,man
sie,man,darf
man,darf,ihnen
darf,ihnen,deswegen
ihnen,deswegen,nicht
deswegen,nicht,böse
nicht,böse,sein
böse,sein,kinder
sein,kinder,müssen
kinder,müssen,mit
müssen,mit,erwachsenen
mit,erwachsenen,nachsichtig
erwachsenen,nachsichtig,sein
nachsichtig,sein,aber
sein,aber,wir
aber,wir,die
wir,die,das
die,das,leben
das,leben,verstehen
leben,verstehen,lachen
verstehen,lachen,natürlich
lachen,natürlich,über
natürlich,über,zahlen
über,zahlen,eigentlich
zahlen,eigentlich,hätte
eigentlich,hätte,ich
hätte,ich,die
ich,die,geschichte
die,geschichte,viel
geschichte,viel,lieber
viel,lieber,wie
lieber,wie,ein
wie,ein,märchen
ein,märchen,begonnen
märchen,begonnen,ich
begonnen,ich,hätte
ich,hätte,gerne
hätte,gerne,gesagt
gerne,gesagt,es
gesagt,es,war
es,war,einmal
war,einmal,ein
einmal,ein,kleiner
ein,kleiner,prinz
kleiner,prinz,der
prinz,der,lebte
der,lebte,auf
lebte,auf,einem
auf,einem,planeten
einem,planeten,der
planeten,der,war
der,war,kaum
war,kaum,größer
kaum,größer,als
größer,als,er
als,er,selbst
er,selbst,und
selbst,und,er
und,er,brauchte
er,brauchte,einen
brauchte,einen,freund
einen,freund,für
freund,für,all
für,all,jene
all,jene,die
jene,die,das
die,das,leben
das,leben,verstehen
leben,verstehen,würde
verstehen,würde,das
würde,das,viel
das,viel,richtiger
viel,richtiger,klingen
richtiger,klingen,denn
klingen,denn,ich
denn,ich,mag
ich,mag,es
mag,es,nicht
es,nicht,wenn
nicht,wenn,man
wenn,man,mein
man,mein,buch
mein,buch,so
buch,so,leichtfertig
so,leichtfertig,liest
leichtfertig,liest,es
liest,es,betrübt
es,betrübt,mich
betrübt,mich,von
mich,von,diesen
von,diesen,erinnerungen
diesen,erinnerungen,zu
erinnerungen,zu,erzählen
zu,erzählen,es
erzählen,es,ist
es,ist,schon
ist,schon,sechs
schon,sechs,jahre
sechs,jahre,her
jahre,her,dass
her,dass,mein
dass,mein,freund
mein,freund,mit
freund,mit,seinem
mit,seinem,schaf
seinem,schaf,verschwunden
schaf,verschwunden,ist
verschwunden,ist,wenn
ist,wenn,ich
wenn,ich,versuche
ich,versuche,ihn
versuche,ihn,hier
ihn,hier,zu
hier,zu,beschreiben
zu,beschreiben,dann
beschreiben,dann,deswegen
dann,deswegen,um
deswegen,um,ihn
um,ihn,nicht
ihn,nicht,zu
nicht,zu,vergessen
zu,vergessen,es
vergessen,es,ist
es,ist,traurig
ist,traurig,einen
traurig,einen,freund
einen,freund,zu
freund,zu,vergessen
zu,vergessen,nicht
vergessen,nicht,jeder
nicht,jeder,hatte
jeder,hatte,schon
hatte,schon,mal
schon,mal,einen
mal,einen,freund
einen,freund,ich
freund,ich,könnte
ich,könnte,wie
könnte,wie,die
wie,die,großen
die,großen,werden
großen,werden,die
werden,die,sich
die,sich,nur
sich,nur,noch
nur,noch,für
noch,für,zahlen
für,zahlen,interessieren
zahlen,interessieren,doch
interessieren,doch,deswegen
doch,deswegen,habe
deswegen,habe,ich
habe,ich,mir
ich,mir,ja
mir,ja,den
ja,den,farbkasten
den,farbkasten,und
farbkasten,und,die
und,die,stifte
die,stifte,gekauft
stifte,gekauft,es
gekauft,es,ist
es,ist,schwierig
ist,schwierig,in
schwierig,in,meinem
in,meinem,alter
meinem,alter,wieder
alter,wieder,mit
wieder,mit,dem
mit,dem,zeichnen
dem,zeichnen,anzufangen
zeichnen,anzufangen,wenn
anzufangen,wenn,man
wenn,man,nie
man,nie,etwas
nie,etwas,anderes
etwas,anderes,versucht
anderes,versucht,hat
versucht,hat,als
hat,als,mit
als,mit,sechs
mit,sechs,jahren
sechs,jahren,eine
jahren,eine,geschlossene
eine,geschlossene,und
geschlossene,und,eine
und,eine,offene
eine,offene,riesenschlange
offene,riesenschlange,zu
riesenschlange,zu,malen
zu,malen,ich
malen,ich,werde
ich,werde,natürlich
werde,natürlich,versuchen
natürlich,versuchen,die
versuchen,die,abbildungen
die,abbildungen,möglichst
abbildungen,möglichst,wahrheitsgetreu
möglichst,wahrheitsgetreu,zu
wahrheitsgetreu,zu,zeichnen
zu,zeichnen,aber
zeichnen,aber,ich
aber,ich,bin
ich,bin,nicht
bin,nicht,sicher
nicht,sicher,ob
sicher,ob,ich
ob,ich,es
ich,es,schaffe
es,schaffe,das
schaffe,das,eine
das,eine,bild
eine,bild,gelingt
bild,gelingt,das
gelingt,das,andere
das,andere,hat
andere,hat,schon
hat,schon,keine
schon,keine,ähnlichkeit
keine,ähnlichkeit,mehr
ähnlichkeit,mehr,auch
mehr,auch,mit
auch,mit,der
mit,der,größe
der,größe,liege
größe,liege,ich
liege,ich,ein
ich,ein,bisschen
ein,bisschen,falsch
bisschen,falsch,hier
falsch,hier,ist
hier,ist,der
ist,der,kleine
der,kleine,prinz
kleine,prinz,zu
prinz,zu,groß
zu,groß,da
groß,da,ist
da,ist,er
ist,er,zu
er,zu,klein
zu,klein,auch
klein,auch,zögere
auch,zögere,ich
zögere,ich,bei
ich,bei,der
bei,der,farbe
der,farbe,seiner
farbe,seiner,kleidung
seiner,kleidung,ich
kleidung,ich,versuche
ich,versuche,es
versuche,es,mal
es,mal,so
mal,so,und
so,und,mal
und,mal,so
mal,so,eben
so,eben,so
eben,so,gut
so,gut,es
gut,es,geht
es,geht,ich
geht,ich,werde
ich,werde,mich
werde,mich,bestimmt
mich,bestimmt,bei
bestimmt,bei,einigen
bei,einigen,viel
einigen,viel,wichtigeren
viel,wichtigeren,details
wichtigeren,details,täuschen
details,täuschen,aber
täuschen,aber,das
aber,das,muss
das,muss,man
muss,man,mir
man,mir,nachsehen
mir,nachsehen,mein
nachsehen,mein,freund
mein,freund,gab
freund,gab,mir
gab,mir,nie
mir,nie,irgendwelche
nie,irgendwelche,erklärungen
irgendwelche,erklärungen,er
erklärungen,er,glaubte
er,glaubte,vielleicht
glaubte,vielleicht,ich
vielleicht,ich,sei
ich,sei,ihm
sei,ihm,ähnlich
ihm,ähnlich,aber
ähnlich,aber,ich
aber,ich,weiß
ich,weiß,nicht
weiß,nicht,wie
nicht,wie,man
wie,man,durch
man,durch,kistenbretter
durch,kistenbretter,hindurch
kistenbretter,hindurch,schafe
hindurch,schafe,sieht
schafe,sieht,vielleicht
sieht,vielleicht,bin
vielleicht,bin,ich
bin,ich,doch
ich,doch,schon
doch,schon,ein
schon,ein,bisschen
ein,bisschen,wie
bisschen,wie,die
wie,die,erwachsenen
die,erwachsenen,ich
erwachsenen,ich,muss
ich,muss,älter
muss,älter,geworden
älter,geworden,sein
geworden,sein,jeden
sein,jeden,tag
jeden,tag,lernte
tag,lernte,ich
lernte,ich,etwas
ich,etwas,über
etwas,über,den
über,den,planeten
den,planeten,über
planeten,über,den
über,den,abschied
den,abschied,über
abschied,über,die
über,die,reise
die,reise,das
reise,das,kam
das,kam,nach
kam,nach,und
nach,und,nach
und,nach,durch
nach,durch,zufällige
durch,zufällige,überlegungen
zufällige,überlegungen,auf
überlegungen,auf,diese
auf,diese,weise
diese,weise,erfuhr
weise,erfuhr,ich
erfuhr,ich,am
ich,am,dritten
am,dritten,tag
dritten,tag,von
tag,von,der
von,der,tragödie
der,tragödie,mit
tragödie,mit,den
mit,den,affenbrotbäumen
den,affenbrotbäumen,auch
affenbrotbäumen,auch,das
auch,das,geschah
das,geschah,dank
geschah,dank,eines
dank,eines,schafs
eines,schafs,denn
schafs,denn,plötzlich
denn,plötzlich,fragte
plötzlich,fragte,mich
fragte,mich,der
mich,der,kleine
der,kleine,prinz
kleine,prinz,wie
prinz,wie,von
wie,von,einem
von,einem,schlimmen
einem,schlimmen,zweifel
schlimmen,zweifel,überkommen
zweifel,überkommen,es
überkommen,es,ist
es,ist,doch
ist,doch,wahr
doch,wahr,dass
wahr,dass,schafe
dass,schafe,sträucher
schafe,sträucher,fressen
sträucher,fressen,oder
fressen,oder,ja
oder,ja,das
ja,das,ist
das,ist,wahr
ist,wahr,ah
wahr,ah,da
ah,da,bin
da,bin,ich
bin,ich,froh
ich,froh,ich
froh,ich,verstand
ich,verstand,nicht
verstand,nicht,warum
nicht,warum,es
warum,es,so
es,so,wichtig
so,wichtig,war
wichtig,war,dass
war,dass,schafe
dass,schafe,sträucher
schafe,sträucher,fressen
sträucher,fressen,aber
fressen,aber,der
aber,der,kleine
der,kleine,prinz
kleine,prinz,fügte
prinz,fügte,hinzu
fügte,hinzu,also
hinzu,also,fressen
also,fressen,sie
fressen,sie,auch
sie,auch,affenbrotbäume
auch,affenbrotbäume,ich
affenbrotbäume,ich,wies
ich,wies,den
wies,den,kleinen
den,kleinen,prinzen
kleinen,prinzen,darauf
prinzen,darauf,hin
darauf,hin,dass
hin,dass,affenbrotbäume
dass,affenbrotbäume,keine
affenbrotbäume,keine,sträucher
keine,sträucher,seien
sträucher,seien,sondern
seien,sondern,bäume
sondern,bäume,so
bäume,so,groß
so,groß,wie
groß,wie,kirchen
wie,kirchen,und
kirchen,und,selbst
und,selbst,wenn
selbst,wenn,er
wenn,er,sich
er,sich,eine
sich,eine,ganze
eine,ganze,herde
ganze,herde,elefanten
herde,elefanten,mitnehmen
elefanten,mitnehmen,würde
mitnehmen,würde,so
würde,so,würde
so,würde,die
würde,die,herde
die,herde,nicht
herde,nicht,an
nicht,an,einen
an,einen,einzigen
einen,einzigen,affenbrotbaum
einzigen,affenbrotbaum,heranreichen
affenbrotbaum,heranreichen,über
heranreichen,über,die
über,die,idee
die,idee,mit
idee,mit,den
mit,den,elefanten
den,elefanten,musste
elefanten,musste,der
musste,der,kleine
der,kleine,prinz
kleine,prinz,lachen
prinz,lachen,man
lachen,man,müsste
man,müsste,sie
müsste,sie,übereinander
sie,übereinander,stapeln
übereinander,stapeln,aber
stapeln,aber,dann
aber,dann,bemerkte
dann,bemerkte,er
bemerkte,er,weise
er,weise,bevor
weise,bevor,die
bevor,die,affenbrotbäume
die,affenbrotbäume,wachsen
affenbrotbäume,wachsen,sind
wachsen,sind,sie
sind,sie,doch
sie,doch,erst
doch,erst,klein
erst,klein,das
klein,das,stimmt
das,stimmt,aber
stimmt,aber,warum
aber,warum,möchtest
warum,möchtest,du
möchtest,du,dass
du,dass,deine
dass,deine,schafe
deine,schafe,die
schafe,die,kleinen
die,kleinen,affenbrotbäume
kleinen,affenbrotbäume,fressen
affenbrotbäume,fressen,er
fressen,er,antwortete
er,antwortete,schon
antwortete,schon,gut
schon,gut,wir
gut,wir,werden
wir,werden,ja
werden,ja,sehen
ja,sehen,als
sehen,als,ginge
als,ginge,es
ginge,es,um
es,um,eine
um,eine,selbstverständlichkeit
eine,selbstverständlichkeit,und
selbstverständlichkeit,und,es
und,es,kostete
es,kostete,mich
kostete,mich,ganz
mich,ganz,schön
ganz,schön,viel
schön,viel,intelligenz
viel,intelligenz,um
intelligenz,um,dieses
um,dieses,problem
dieses,problem,allein
problem,allein,zu
allein,zu,verstehen
zu,verstehen,es
verstehen,es,gab
es,gab,auf
gab,auf,dem
auf,dem,planeten
dem,planeten,des
planeten,des,kleinen
des,kleinen,prinzen
kleinen,prinzen,wie
prinzen,wie,auf
wie,auf,jedem
auf,jedem,planeten
jedem,planeten,natürlich
planeten,natürlich,gute
natürlich,gute,und
gute,und,schlechte
und,schlechte,pflanzen
schlechte,pflanzen,daher
pflanzen,daher,gab
daher,gab,es
gab,es,auch
es,auch,gute
auch,gute,samen
gute,samen,von
samen,von,guten
von,guten,pflanzen
guten,pflanzen,und
pflanzen,und,schlechte
und,schlechte,samen
schlechte,samen,von
samen,von,schlechten
von,schlechten,pflanzen
schlechten,pflanzen,aber
pflanzen,aber,samen
aber,samen,sind
samen,sind,unsichtbar
sind,unsichtbar,sie
unsichtbar,sie,schlafen
sie,schlafen,verborgen
schlafen,verborgen,in
verborgen,in,der
in,der,erde
der,erde,bis
erde,bis,aus
bis,aus,einer
aus,einer,laune
einer,laune,heraus
laune,heraus,ein
heraus,ein,korn
ein,korn,erwacht
korn,erwacht,es
erwacht,es,reckt
es,reckt,sich
reckt,sich,und
sich,und,schiebt
und,schiebt,ganz
schiebt,ganz,schüchtern
ganz,schüchtern,noch
schüchtern,noch,einen
noch,einen,entzückenden
einen,entzückenden,kleinen
entzückenden,kleinen,ganz
kleinen,ganz,harmlosen
ganz,harmlosen,halm
harmlosen,halm,der
halm,der,sonne
der,sonne,entgegen
sonne,entgegen,handelt
entgegen,handelt,es
handelt,es,sich
es,sich,um
sich,um,den
um,den,trieb
den,trieb,eines
trieb,eines,radieschens
eines,radieschens,oder
radieschens,oder,einer
oder,einer,rose
einer,rose,dann
rose,dann,kann
dann,kann,man
kann,man,ihn
man,ihn,so
ihn,so,wachsen
so,wachsen,lassen
wachsen,lassen,wie
lassen,wie,es
wie,es,ihm
es,ihm,gefällt
ihm,gefällt,aber
gefällt,aber,wenn
aber,wenn,es
wenn,es,sich
es,sich,um
sich,um,unkraut
um,unkraut,handelt
unkraut,handelt,dann
handelt,dann,muss
dann,muss,man
muss,man,die
man,die,pflanze
die,pflanze,umgehend
pflanze,umgehend,herausreißen
umgehend,herausreißen,sobald
herausreißen,sobald,man
sobald,man,sie
man,sie,entdeckt
sie,entdeckt,hat
entdeckt,hat,nun
hat,nun,gab
nun,gab,es
gab,es,schreckliche
es,schreckliche,samenkörner
schreckliche,samenkörner,auf
samenkörner,auf,dem
auf,dem,planeten
dem,planeten,des
planeten,des,kleinen
des,kleinen,prinzen
kleinen,prinzen,es
prinzen,es,waren
es,waren,die
waren,die,samen
die,samen,der
samen,der,affenbrotbäume
der,affenbrotbäume,der
affenbrotbäume,der,boden
der,boden,des
boden,des,planeten
des,planeten,war
planeten,war,davon
war,davon,übersät
davon,übersät,so
übersät,so,einen
so,einen,affenbrotbaum
einen,affenbrotbaum,wird
affenbrotbaum,wird,man
wird,man,nicht
man,nicht,mehr
nicht,mehr,los
mehr,los,wenn
los,wenn,man
wenn,man,sich
man,sich,zu
sich,zu,spät
zu,spät,darum
spät,darum,kümmert
darum,kümmert,er
kümmert,er,befällt
er,befällt,den
befällt,den,ganzen
den,ganzen,planeten
ganzen,planeten,er
planeten,er,durchbohrt
er,durchbohrt,ihn
durchbohrt,ihn,mit
ihn,mit,seinen
mit,seinen,wurzeln
seinen,wurzeln,und
wurzeln,und,wenn
und,wenn,der
wenn,der,planet
der,planet,zu
planet,zu,klein
zu,klein,ist
klein,ist,und
ist,und,die
und,die,affenbrotbäume
die,affenbrotbäume,zu
affenbrotbäume,zu,zahlreich
zu,zahlreich,werden
zahlreich,werden,dann
werden,dann,sprengen
