first,second,third,fourth
gegeben,er,beugte,den
er,beugte,den,kopf
beugte,den,kopf,über
den,kopf,über,die
kopf,über,die,zeichnung
über,die,zeichnung,na
die,zeichnung,na,so
zeichnung,na,so,klein
na,so,klein,auch
so,klein,auch,nicht
klein,auch,nicht,schau
auch,nicht,schau,es
nicht,schau,es,ist
schau,es,ist,eingeschlafen
es,ist,eingeschlafen,und
ist,eingeschlafen,und,so
eingeschlafen,und,so,habe
und,so,habe,ich
so,habe,ich,den
habe,ich,den,kleinen
ich,den,kleinen,prinzen
den,kleinen,prinzen,kennengelernt
kleinen,prinzen,kennengelernt,ich
prinzen,kennengelernt,ich,brauchte
kennengelernt,ich,brauchte,lange
ich,brauchte,lange,um
brauchte,lange,um,zu
lange,um,zu,verstehen
um,zu,verstehen,woher
zu,verstehen,woher,er
verstehen,woher,er,kam
woher,er,kam,der
er,kam,der,kleine
kam,der,kleine,prinz
der,kleine,prinz,stellte
kleine,prinz,stellte,mir
prinz,stellte,mir,viele
stellte,mir,viele,fragen
mir,viele,fragen,aber
viele,fragen,aber,schien
fragen,aber,schien,meine
aber,schien,meine,zu
schien,meine,zu,überhören
meine,zu,überhören,es
zu,überhören,es,waren
überhören,es,waren,zufällig
es,waren,zufällig,ausgesprochene
waren,zufällig,ausgesprochene,worte
zufällig,ausgesprochene,worte,durch
ausgesprochene,worte,durch,die
worte,durch,die,mir
durch,die,mir,nach
die,mir,nach,und
mir,nach,und,nach
nach,und,nach,alles
und,nach,alles,klar
nach,alles,klar,wurde
alles,klar,wurde,als
klar,wurde,als,er
wurde,als,er,das
als,er,das,erste
er,das,erste,mal
das,erste,mal,mein
erste,mal,mein,flugzeug
mal,mein,flugzeug,sah
mein,flugzeug,sah,ich
flugzeug,sah,ich,zeichne
sah,ich,zeichne,mein
ich,zeichne,mein,flugzeug
zeichne,mein,flugzeug,hier
mein,flugzeug,hier,nicht
flugzeug,hier,nicht,denn
hier,nicht,denn,das
nicht,denn,das,ist
denn,das,ist,viel
das,ist,viel,zu
ist,viel,zu,schwierig
viel,zu,schwierig,für
zu,schwierig,für,mich
schwierig,für,mich,da
für,mich,da,fragte
mich,da,fragte,er
da,fragte,er,mich
fragte,er,mich,was
er,mich,was,ist
mich,was,ist,dieses
was,ist,dieses,ding
ist,dieses,ding,das
dieses,ding,das,ist
ding,das,ist,kein
das,ist,kein,ding
ist,kein,ding,es
kein,ding,es,fliegt
ding,es,fliegt,das
es,fliegt,das,ist
fliegt,das,ist,ein
das,ist,ein,flugzeug
ist,ein,flugzeug,das
ein,flugzeug,das,ist
flugzeug,das,ist,mein
das,ist,mein,flugzeug
ist,mein,flugzeug,ich
mein,flugzeug,ich,war
flugzeug,ich,war,stolz
ich,war,stolz,ihm
war,stolz,ihm,mitzuteilen
stolz,ihm,mitzuteilen,dass
ihm,mitzuteilen,dass,ich
mitzuteilen,dass,ich,fliegen
dass,ich,fliegen,konnte
ich,fliegen,konnte,aber
fliegen,konnte,aber,er
konnte,aber,er,rief
aber,er,rief,wie
er,rief,wie,du
rief,wie,du,bist
wie,du,bist,vom
du,bist,vom,himmel
bist,vom,himmel,gefallen
vom,himmel,gefallen,ja
himmel,gefallen,ja,erwiderte
gefallen,ja,erwiderte,ich
ja,erwiderte,ich,bescheiden
erwiderte,ich,bescheiden,ah
ich,bescheiden,ah,das
bescheiden,ah,das,ist
ah,das,ist,lustig
das,ist,lustig,und
ist,lustig,und,der
lustig,und,der,kleine
und,der,kleine,prinz
der,kleine,prinz,brach
kleine,prinz,brach,in
prinz,brach,in,ein
brach,in,ein,herzliches
in,ein,herzliches,lachen
ein,herzliches,lachen,aus
herzliches,lachen,aus,das
lachen,aus,das,mich
aus,das,mich,sehr
das,mich,sehr,verärgerte
mich,sehr,verärgerte,ich
sehr,verärgerte,ich,wünsche
verärgerte,ich,wünsche,dass
ich,wünsche,dass,man
wünsche,dass,man,ernst
dass,man,ernst,nimmt
man,ernst,nimmt,was
ernst,nimmt,was,mir
nimmt,was,mir,an
was,mir,an,unheil
mir,an,unheil,zustößt
an,unheil,zustößt,dann
unheil,zustößt,dann,fügte
zustößt,dann,fügte,er
dann,fügte,er,hinzu
fügte,er,hinzu,also
er,hinzu,also,kommst
hinzu,also,kommst,du
also,kommst,du,auch
kommst,du,auch,aus
du,auch,aus,dem
auch,aus,dem,himmel
aus,dem,himmel,von
dem,himmel,von,welchem
himmel,von,welchem,planeten
von,welchem,planeten,stammst
welchem,planeten,stammst,du
planeten,stammst,du,plötzlich
stammst,du,plötzlich,wurde
du,plötzlich,wurde,mir
plötzlich,wurde,mir,klar
wurde,mir,klar,was
mir,klar,was,es
klar,was,es,mit
was,es,mit,seiner
es,mit,seiner,anwesenheit
mit,seiner,anwesenheit,auf
seiner,anwesenheit,auf,sich
anwesenheit,auf,sich,haben
auf,sich,haben,könnte
sich,haben,könnte,und
haben,könnte,und,ich
könnte,und,ich,fragte
und,ich,fragte,schnell
ich,fragte,schnell,du
fragte,schnell,du,stammst
schnell,du,stammst,also
du,stammst,also,von
stammst,also,von,einem
also,von,einem,anderen
von,einem,anderen,planeten
einem,anderen,planeten,aber
anderen,planeten,aber,er
planeten,aber,er,antwortete
aber,er,antwortete,mir
er,antwortete,mir,nicht
antwortete,mir,nicht,er
mir,nicht,er,nickte
nicht,er,nickte,nur
er,nickte,nur,sanft
nickte,nur,sanft,während
nur,sanft,während,er
sanft,während,er,mein
während,er,mein,flugzeug
er,mein,flugzeug,betrachtete
mein,flugzeug,betrachtete,auf
flugzeug,betrachtete,auf,diesem
betrachtete,auf,diesem,ding
auf,diesem,ding,kannst
diesem,ding,kannst,du
ding,kannst,du,nicht
kannst,du,nicht,von
du,nicht,von,sehr
nicht,von,sehr,weit
von,sehr,weit,her
sehr,weit,her,kommen
weit,her,kommen,und
her,kommen,und,er
kommen,und,er,verfiel
und,er,verfiel,in
er,verfiel,in,eine
verfiel,in,eine,lange
in,eine,lange,träumerei
eine,lange,träumerei,er
lange,träumerei,er,holte
träumerei,er,holte,das
er,holte,das,schaf
holte,das,schaf,aus
das,schaf,aus,seiner
schaf,aus,seiner,tasche
aus,seiner,tasche,und
seiner,tasche,und,bewunderte
tasche,und,bewunderte,lange
und,bewunderte,lange,zeit
bewunderte,lange,zeit,seinen
lange,zeit,seinen,schatz
zeit,seinen,schatz,ihr
seinen,schatz,ihr,könnt
schatz,ihr,könnt,euch
ihr,könnt,euch,vorstellen
könnt,euch,vorstellen,wie
euch,vorstellen,wie,sehr
vorstellen,wie,sehr,es
wie,sehr,es,mich
sehr,es,mich,beschäftigte
es,mich,beschäftigte,was
mich,beschäftigte,was,er
beschäftigte,was,er,mir
was,er,mir,über
er,mir,über,die
mir,über,die,anderen
über,die,anderen,planeten
die,anderen,planeten,schon
anderen,planeten,schon,halb
planeten,schon,halb,anvertraut
schon,halb,anvertraut,hatte
halb,anvertraut,hatte,so
anvertraut,hatte,so,strengte
hatte,so,strengte,ich
so,strengte,ich,mich
strengte,ich,mich,an
ich,mich,an,mehr
mich,an,mehr,darüber
an,mehr,darüber,zu
mehr,darüber,zu,erfahren
darüber,zu,erfahren,woher
zu,erfahren,woher,kommst
erfahren,woher,kommst,du
woher,kommst,du,kleiner
kommst,du,kleiner,kerl
du,kleiner,kerl,wo
kleiner,kerl,wo,ist
kerl,wo,ist,dein
wo,ist,dein,zuhause
ist,dein,zuhause,wohin
dein,zuhause,wohin,willst
zuhause,wohin,willst,du
wohin,willst,du,mein
willst,du,mein,schaf
du,mein,schaf,mitnehmen
mein,schaf,mitnehmen,er
schaf,mitnehmen,er,antwortete
mitnehmen,er,antwortete,mir
er,antwortete,mir,nach
antwortete,mir,nach,einem
mir,nach,einem,nachdenklichen
nach,einem,nachdenklichen,schweigen
einem,nachdenklichen,schweigen,das
nachdenklichen,schweigen,das,gute
schweigen,das,gute,an
das,gute,an,der
gute,an,der,kiste
an,der,kiste,die
der,kiste,die,du
kiste,die,du,mir
die,du,mir,gegeben
du,mir,gegeben,hast
mir,gegeben,hast,ist
gegeben,hast,ist,dass
hast,ist,dass,sie
ist,dass,sie,ihm
dass,sie,ihm,als
sie,ihm,als,haus
ihm,als,haus,dienen
als,haus,dienen,wird
haus,dienen,wird,in
dienen,wird,in,der
wird,in,der,nacht
in,der,nacht,ganz
der,nacht,ganz,bestimmt
nacht,ganz,bestimmt,und
ganz,bestimmt,und,wenn
bestimmt,und,wenn,du
und,wenn,du,nett
wenn,du,nett,bist
du,nett,bist,gebe
nett,bist,gebe,ich
bist,gebe,ich,dir
gebe,ich,dir,auch
ich,dir,auch,einenstrick
dir,auch,einenstrick,um
auch,einenstrick,um,es
einenstrick,um,es,nachts
um,es,nachts,festzubinden
es,nachts,festzubinden,und
nachts,festzubinden,und,einen
festzubinden,und,einen,pflock
und,einen,pflock,dieser
einen,pflock,dieser,vorschlag
pflock,dieser,vorschlag,schien
dieser,vorschlag,schien,den
vorschlag,schien,den,kleinen
schien,den,kleinen,prinzen
den,kleinen,prinzen,zu
kleinen,prinzen,zu,schockieren
prinzen,zu,schockieren,es
zu,schockieren,es,festbinden
schockieren,es,festbinden,was
es,festbinden,was,für
festbinden,was,für,eine
was,für,eine,merkwürdige
für,eine,merkwürdige,idee
eine,merkwürdige,idee,aber
merkwürdige,idee,aber,wenn
idee,aber,wenn,du
aber,wenn,du,es
wenn,du,es,nicht
du,es,nicht,festbindest
es,nicht,festbindest,kann
nicht,festbindest,kann,es
festbindest,kann,es,überall
kann,es,überall,hingehen
es,überall,hingehen,und
überall,hingehen,und,sich
hingehen,und,sich,verlaufen
und,sich,verlaufen,erneut
sich,verlaufen,erneut,brach
verlaufen,erneut,brach,mein
erneut,brach,mein,freund
brach,mein,freund,in
mein,freund,in,lachen
freund,in,lachen,aus
in,lachen,aus,aber
lachen,aus,aber,wohin
aus,aber,wohin,soll
aber,wohin,soll,es
wohin,soll,es,denn
soll,es,denn,deiner
es,denn,deiner,meinung
denn,deiner,meinung,nach
deiner,meinung,nach,gehen
meinung,nach,gehen,egal
nach,gehen,egal,wohin
gehen,egal,wohin,einfach
egal,wohin,einfach,geradeaus
wohin,einfach,geradeaus,im
einfach,geradeaus,im,ernsten
geradeaus,im,ernsten,ton
im,ernsten,ton,bemerkte
ernsten,ton,bemerkte,der
ton,bemerkte,der,kleine
bemerkte,der,kleine,prinz
der,kleine,prinz,das
kleine,prinz,das,macht
prinz,das,macht,nichts
das,macht,nichts,es
macht,nichts,es,ist
nichts,es,ist,so
es,ist,so,klein
ist,so,klein,bei
so,klein,bei,mir
klein,bei,mir,und
bei,mir,und,vielleicht
mir,und,vielleicht,ein
und,vielleicht,ein,bisschen
vielleicht,ein,bisschen,traurig
ein,bisschen,traurig,fügte
bisschen,traurig,fügte,er
traurig,fügte,er,hinzu
fügte,er,hinzu,geradeaus
er,hinzu,geradeaus,kommt
hinzu,geradeaus,kommt,man
geradeaus,kommt,man,nicht
kommt,man,nicht,besonders
man,nicht,besonders,weit
nicht,besonders,weit,so
besonders,weit,so,lernte
weit,so,lernte,ich
so,lernte,ich,eine
lernte,ich,eine,zweite
ich,eine,zweite,wichtige
eine,zweite,wichtige,sache
zweite,wichtige,sache,sein
wichtige,sache,sein,heimatplanet
sache,sein,heimatplanet,war
sein,heimatplanet,war,kaum
heimatplanet,war,kaum,größer
war,kaum,größer,als
kaum,größer,als,ein
größer,als,ein,haus
als,ein,haus,das
ein,haus,das,wunderte
haus,das,wunderte,mich
das,wunderte,mich,nicht
wunderte,mich,nicht,ich
mich,nicht,ich,wusste
nicht,ich,wusste,genau
ich,wusste,genau,dass
wusste,genau,dass,es
genau,dass,es,neben
dass,es,neben,den
es,neben,den,großen
neben,den,großen,planeten
den,großen,planeten,wie
großen,planeten,wie,der
planeten,wie,der,erde
wie,der,erde,dem
der,erde,dem,jupiter
erde,dem,jupiter,dem
dem,jupiter,dem,mars
jupiter,dem,mars,oder
dem,mars,oder,der
mars,oder,der,venus
oder,der,venus,denen
der,venus,denen,wir
venus,denen,wir,namen
denen,wir,namen,gegeben
wir,namen,gegeben,hatten
namen,gegeben,hatten,noch
gegeben,hatten,noch,hunderte
hatten,noch,hunderte,anderer
noch,hunderte,anderer,planeten
hunderte,anderer,planeten,gibt
anderer,planeten,gibt,die
planeten,gibt,die,manchmal
gibt,die,manchmal,so
die,manchmal,so,klein
manchmal,so,klein,sind
so,klein,sind,dass
klein,sind,dass,man
sind,dass,man,sie
dass,man,sie,selbst
man,sie,selbst,durch
sie,selbst,durch,ein
selbst,durch,ein,teleskop
durch,ein,teleskop,kaum
ein,teleskop,kaum,erkennen
teleskop,kaum,erkennen,kann
kaum,erkennen,kann,wenn
erkennen,kann,wenn,ein
kann,wenn,ein,astronom
wenn,ein,astronom,einen
ein,astronom,einen,von
astronom,einen,von,ihnen
einen,von,ihnen,entdeckt
von,ihnen,entdeckt,so
ihnen,entdeckt,so,gibt
entdeckt,so,gibt,er
so,gibt,er,ihm
gibt,er,ihm,eine
er,ihm,eine,nummer
ihm,eine,nummer,anstelle
eine,nummer,anstelle,eines
nummer,anstelle,eines,namens
anstelle,eines,namens,er
eines,namens,er,nennt
namens,er,nennt,ihn
er,nennt,ihn,zum
nennt,ihn,zum,beispiel
ihn,zum,beispiel,asteroid
zum,beispiel,asteroid,ich
beispiel,asteroid,ich,habe
asteroid,ich,habe,ernstzunehmende
ich,habe,ernstzunehmende,gründe
habe,ernstzunehmende,gründe,zu
ernstzunehmende,gründe,zu,glauben
gründe,zu,glauben,dass
zu,glauben,dass,der
glauben,dass,der,heimatplanet
dass,der,heimatplanet,des
der,heimatplanet,des,kleinen
heimatplanet,des,kleinen,prinzen
des,kleinen,prinzen,der
kleinen,prinzen,der,asteroid
prinzen,der,asteroid,b
der,asteroid,b,ist
asteroid,b,ist,nur
b,ist,nur,ein
ist,nur,ein,einziges
nur,ein,einziges,mal
ein,einziges,mal,im
einziges,mal,im,jahre
mal,im,jahre,hat
im,jahre,hat,ein
jahre,hat,ein,türkischer
hat,ein,türkischer,astronom
ein,türkischer,astronom,diesen
türkischer,astronom,diesen,asteroiden
astronom,diesen,asteroiden,durch
diesen,asteroiden,durch,sein
asteroiden,durch,sein,fernrohr
durch,sein,fernrohr,gesehen
sein,fernrohr,gesehen,seine
fernrohr,gesehen,seine,entdeckung
gesehen,seine,entdeckung,hatte
seine,entdeckung,hatte,er
entdeckung,hatte,er,bei
hatte,er,bei,einem
er,bei,einem,internationalen
bei,einem,internationalen,astronomiekongress
einem,internationalen,astronomiekongress,vorgeführt
internationalen,astronomiekongress,vorgeführt,aber
astronomiekongress,vorgeführt,aber,wegen
vorgeführt,aber,wegen,seiner
aber,wegen,seiner,traditionellen
wegen,seiner,traditionellen,tracht
seiner,traditionellen,tracht,hatte
traditionellen,tracht,hatte,ihm
tracht,hatte,ihm,niemand
hatte,ihm,niemand,glauben
ihm,niemand,glauben,wollen
niemand,glauben,wollen,so
glauben,wollen,so,sind
wollen,so,sind,die
so,sind,die,erwachsenen
sind,die,erwachsenen,zum
die,erwachsenen,zum,glück
erwachsenen,zum,glück,für
zum,glück,für,den
glück,für,den,asteroiden
für,den,asteroiden,b
den,asteroiden,b,zwang
asteroiden,b,zwang,ein
b,zwang,ein,türkischer
zwang,ein,türkischer,diktator
ein,türkischer,diktator,sein
türkischer,diktator,sein,volk
diktator,sein,volk,unter
sein,volk,unter,androhung
volk,unter,androhung,der
unter,androhung,der,todesstrafe
androhung,der,todesstrafe,sich
der,todesstrafe,sich,nach
todesstrafe,sich,nach,europäischer
sich,nach,europäischer,art
nach,europäischer,art,zu
europäischer,art,zu,kleiden
art,zu,kleiden,so
zu,kleiden,so,wiederholte
kleiden,so,wiederholte,der
so,wiederholte,der,astronom
wiederholte,der,astronom,in
der,astronom,in,sehr
astronom,in,sehr,eleganter
in,sehr,eleganter,kleidung
sehr,eleganter,kleidung,seine
eleganter,kleidung,seine,vorführung
kleidung,seine,vorführung,im
seine,vorführung,im,jahre
vorführung,im,jahre,und
im,jahre,und,dieses
jahre,und,dieses,mal
und,dieses,mal,waren
dieses,mal,waren,alle
mal,waren,alle,seiner
waren,alle,seiner,meinung
alle,seiner,meinung,wenn
seiner,meinung,wenn,ich
meinung,wenn,ich,euch
wenn,ich,euch,diese
ich,euch,diese,details
euch,diese,details,über
diese,details,über,den
details,über,den,asteroiden
über,den,asteroiden,b
den,asteroiden,b,erzähle
asteroiden,b,erzähle,und
b,erzähle,und,seine
erzähle,und,seine,nummer
und,seine,nummer,verraten
seine,nummer,verraten,habe
nummer,verraten,habe,dann
verraten,habe,dann,wegen
habe,dann,wegen,der
dann,wegen,der,erwachsenen
wegen,der,erwachsenen,erwachsene
der,erwachsenen,erwachsene,lieben
erwachsenen,erwachsene,lieben,zahlen
erwachsene,lieben,zahlen,erzählt
lieben,zahlen,erzählt,ihr
zahlen,erzählt,ihr,ihnen
erzählt,ihr,ihnen,von
ihr,ihnen,von,einem
ihnen,von,einem,neuen
von,einem,neuen,freund
einem,neuen,freund,stellen
neuen,freund,stellen,sie
freund,stellen,sie,euch
stellen,sie,euch,nie
sie,euch,nie,fragen
euch,nie,fragen,über
nie,fragen,über,das
fragen,über,das,wesentliche
über,das,wesentliche,sie
das,wesentliche,sie,sagen
wesentliche,sie,sagen,niemals
sie,sagen,niemals,wie
sagen,niemals,wie,klingt
niemals,wie,klingt,seine
wie,klingt,seine,stimme
klingt,seine,stimme,was
seine,stimme,was,sind
stimme,was,sind,seine
was,sind,seine,lieblingsspiele
sind,seine,lieblingsspiele,sammelt
seine,lieblingsspiele,sammelt,er
lieblingsspiele,sammelt,er,schmetterlinge
sammelt,er,schmetterlinge,sie
er,schmetterlinge,sie,fragen
schmetterlinge,sie,fragen,euch
sie,fragen,euch,wie
fragen,euch,wie,alt
euch,wie,alt,ist
wie,alt,ist,er
alt,ist,er,wie
ist,er,wie,viele
er,wie,viele,geschwister
wie,viele,geschwister,hat
viele,geschwister,hat,er
geschwister,hat,er,wie
hat,er,wie,viel
er,wie,viel,wiegt
wie,viel,wiegt,er
viel,wiegt,er,wie
wiegt,er,wie,viel
er,wie,viel,verdient
wie,viel,verdient,sein
viel,verdient,sein,vater
verdient,sein,vater,damit
sein,vater,damit,glauben
vater,damit,glauben,sie
damit,glauben,sie,ihn
glauben,sie,ihn,zu
sie,ihn,zu,kennen
ihn,zu,kennen,erzählt
zu,kennen,erzählt,ihr
kennen,erzählt,ihr,den
erzählt,ihr,den,erwachsenen
ihr,den,erwachsenen,ich
den,erwachsenen,ich,habe
erwachsenen,ich,habe,ein
ich,habe,ein,schönes
habe,ein,schönes,haus
ein,schönes,haus,aus
schönes,haus,aus,roten
haus,aus,roten,ziegelsteinen
aus,roten,ziegelsteinen,gesehen
roten,ziegelsteinen,gesehen,mit
ziegelsteinen,gesehen,mit,geranien
gesehen,mit,geranien,vor
mit,geranien,vor,den
geranien,vor,den,fenstern
vor,den,fenstern,und
den,fenstern,und,tauben
fenstern,und,tauben,auf
und,tauben,auf,dem
tauben,auf,dem,dach
auf,dem,dach,dann
dem,dach,dann,gelingt
dach,dann,gelingt,es
dann,gelingt,es,ihnen
gelingt,es,ihnen,nicht
es,ihnen,nicht,sich
ihnen,nicht,sich,dieses
nicht,sich,dieses,haus
sich,dieses,haus,vorzustellen
dieses,haus,vorzustellen,man
haus,vorzustellen,man,muss
vorzustellen,man,muss,ihnen
man,muss,ihnen,sagen
muss,ihnen,sagen,ich
ihnen,sagen,ich,habe
sagen,ich,habe,ein
ich,habe,ein,haus
habe,ein,haus,gesehen
ein,haus,gesehen,dass
haus,gesehen,dass,hunderttausend
gesehen,dass,hunderttausend,francs
dass,hunderttausend,francs,wert
hunderttausend,francs,wert,ist
francs,wert,ist,dann
wert,ist,dann,rufen
ist,dann,rufen,sie
dann,rufen,sie,erfreut
rufen,sie,erfreut,oh
sie,erfreut,oh,wie
erfreut,oh,wie,schön
oh,wie,schön,wenn
wie,schön,wenn,ihr
schön,wenn,ihr,ihnen
wenn,ihr,ihnen,also
ihr,ihnen,also,sagt
ihnen,also,sagt,der
also,sagt,der,beweis
sagt,der,beweis,dafür
der,beweis,dafür,dass
beweis,dafür,dass,es
dafür,dass,es,den
dass,es,den,kleinen
es,den,kleinen,prinzen
den,kleinen,prinzen,wirklich
kleinen,prinzen,wirklich,gegeben
prinzen,wirklich,gegeben,hat
wirklich,gegeben,hat,liegt
gegeben,hat,liegt,darin
hat,liegt,darin,dass
liegt,darin,dass,er
darin,dass,er,bezaubernd
dass,er,bezaubernd,war
er,bezaubernd,war,dass
bezaubernd,war,dass,er
war,dass,er,lachte
dass,er,lachte,und
er,lachte,und,dass
lachte,und,dass,er
und,dass,er,sich
dass,er,sich,ein
er,sich,ein,schaf
sich,ein,schaf,wünschte
ein,schaf,wünschte,wenn
schaf,wünschte,wenn,man
wünschte,wenn,man,ein
wenn,man,ein,schaf
man,ein,schaf,möchte
ein,schaf,möchte,beweist
schaf,möchte,beweist,das
möchte,beweist,das,doch
beweist,das,doch,dass
das,doch,dass,es
doch,dass,es,einen
dass,es,einen,gibt
es,einen,gibt,dann
einen,gibt,dann,werden
gibt,dann,werden,sie
dann,werden,sie,mit
werden,sie,mit,den
sie,mit,den,schultern
mit,den,schultern,zucken
den,schultern,zucken,und
schultern,zucken,und,euch
zucken,und,euch,wie
und,euch,wie,ein
euch,wie,ein,kind
wie,ein,kind,behandeln
ein,kind,behandeln,sagt
kind,behandeln,sagt,ihr
behandeln,sagt,ihr,ihnen
sagt,ihr,ihnen,aber
ihr,ihnen,aber,sein
ihnen,aber,sein,heimatplanet
aber,sein,heimatplanet,ist
sein,heimatplanet,ist,der
heimatplanet,ist,der,asteroid
ist,der,asteroid,b
der,asteroid,b,dann
asteroid,b,dann,werden
b,dann,werden,sie
dann,werden,sie,überzeugt
werden,sie,überzeugt,sein
sie,überzeugt,sein,und
überzeugt,sein,und,euch
sein,und,euch,in
und,euch,in,ruhe
euch,in,ruhe,lassen
in,ruhe,lassen,mit
ruhe,lassen,mit,ihren
lassen,mit,ihren,fragen
mit,ihren,fragen,so
ihren,fragen,so,sind
fragen,so,sind,sie
so,sind,sie,man
sind,sie,man,darf
sie,man,darf,ihnen
man,darf,ihnen,deswegen
darf,ihnen,deswegen,nicht
ihnen,deswegen,nicht,böse
deswegen,nicht,böse,sein
nicht,böse,sein,kinder
böse,sein,kinder,müssen
sein,kinder,müssen,mit
kinder,müssen,mit,erwachsenen
müssen,mit,erwachsenen,nachsichtig
mit,erwachsenen,nachsichtig,sein
erwachsenen,nachsichtig,sein,aber
nachsichtig,sein,aber,wir
sein,aber,wir,die
aber,wir,die,das
wir,die,das,leben
die,das,leben,verstehen
das,leben,verstehen,lachen
leben,verstehen,lachen,natürlich
verstehen,lachen,natürlich,über
lachen,natürlich,über,zahlen
natürlich,über,zahlen,eigentlich
über,zahlen,eigentlich,hätte
zahlen,eigentlich,hätte,ich
eigentlich,hätte,ich,die
hätte,ich,die,geschichte
ich,die,geschichte,viel
die,geschichte,viel,lieber
geschichte,viel,lieber,wie
viel,lieber,wie,ein
lieber,wie,ein,märchen
wie,ein,märchen,begonnen
ein,märchen,begonnen,ich
märchen,begonnen,ich,hätte
begonnen,ich,hätte,gerne
ich,hätte,gerne,gesagt
hätte,gerne,gesagt,es
gerne,gesagt,es,war
gesagt,es,war,einmal
es,war,einmal,ein
war,einmal,ein,kleiner
einmal,ein,kleiner,prinz
ein,kleiner,prinz,der
kleiner,prinz,der,lebte
prinz,der,lebte,auf
der,lebte,auf,einem
lebte,auf,einem,planeten
auf,einem,planeten,der
einem,planeten,der,war
planeten,der,war,kaum
der,war,kaum,größer
war,kaum,größer,als
kaum,größer,als,er
größer,als,er,selbst
als,er,selbst,und
er,selbst,und,er
selbst,und,er,brauchte
und,er,brauchte,einen
er,brauchte,einen,freund
brauchte,einen,freund,für
einen,freund,für,all
freund,für,all,jene
für,all,jene,die
all,jene,die,das
jene,die,das,leben
die,das,leben,verstehen
das,leben,verstehen,würde
leben,verstehen,würde,das
verstehen,würde,das,viel
würde,das,viel,richtiger
das,viel,richtiger,klingen
viel,richtiger,klingen,denn
richtiger,klingen,denn,ich
klingen,denn,ich,mag
denn,ich,mag,es
ich,mag,es,nicht
mag,es,nicht,wenn
es,nicht,wenn,man
nicht,wenn,man,mein
wenn,man,mein,buch
man,mein,buch,so
mein,buch,so,leichtfertig
